,subject,relation,object,subject_entity,object_entity,sentence
0,We Live in Public,genre,documentary film,Q372,Q93204,"WE LIVE IN PUBLIC is a 2009 documentary film by Ondi Timoner, which profiles Internet pioneer Josh Harris."
1,Deathdream,genre,horror film,Q33671,Q200092,"Deathdream (also known as Dead of Night) is a 1974 horror film directed by Bob Clark and written by Alan Ormsby, and starring Richard Backus, John Marley, and Lynn Carlin."
2,Red Sun,genre,Western film,Q32790,Q172980,"Red Sun (French: Soleil rouge, Italian: Sole rosso) is a 1971 Spaghetti Western film directed by Terence Young and starring Charles Bronson, ToshirÅ Mifune, Alain Delon, Ursula Andress, and Capucine."
3,Be Like Others,genre,documentary film,Q33109,Q93204,Be Like Others (also known as Transsexual in Iran) is a 2008 documentary film written and directed by Tanaz Eshaghian about transsexuals in Iran.
4,Family Plot,genre,comedy thriller,Q47296,Q16950433,Family Plot is a 1976 American Technicolor comedy thriller that was the final film directed by Alfred Hitchcock.
5,The Broken Coin,genre,mystery film,Q24732,Q1200678,The Broken Coin is a 1915 American adventure-mystery film serial directed by Francis Ford.
6,Citizen Kane,genre,biographical film,Q24815,Q645928,"The quasi-biographical film examines the life and legacy of Charles Foster Kane, played by Welles, a character based in part upon the American newspaper magnates William Randolph Hearst and Joseph Pulitzer, Chicago tycoons Samuel Insull and Harold McCormick, and aspects of the screenwriters' own lives."
7,The Death and Life of Bobby Z,genre,action film,Q38486,Q188473,"The Death and Life of Bobby Z, also known as Bobby Z and Let's Kill Bobby Z, is a 2007 American-German action film, directed by John Herzfeld, and starring Paul Walker, Laurence Fishburne, Olivia Wilde and Joaquim de Almeida."
8,Seven Psychopaths,genre,crime film,Q59610,Q959790,Seven Psychopaths is a 2012 dark comedy crime film written and directed by Martin McDonagh.
9,Liar Liar,genre,comedy film,Q48980,Q157443,"Liar Liar is a 1997 American fantasy comedy film directed by Tom Shadyac, written by Paul Guay and Stephen Mazur and starring Jim Carrey, who was nominated for a Golden Globe Award for Best Actor in a Comedy."
10,Monty Python's The Meaning of Life,genre,comedy film,Q24980,Q157443,"Monty Python's The Meaning of Life, also known simply as The Meaning of Life, is a 1983 British musical sketch comedy film written and performed by the Monty Python troupe, directed by Terry Jones."
11,Lonely Are the Brave,genre,Western film,Q49396,Q172980,Lonely Are the Brave is a 1962 American Drama Western film adaptation of the Edward Abbey novel The Brave Cowboy.
12,Men of Israel,genre,pornographic film,Q36190,Q185529,Men of Israel is a 2009 gay pornographic film released by Lucas Entertainment studio.
13,The File of the Golden Goose,genre,thriller film,Q38143,Q2484376,"The File of the Golden Goose is a 1969 British thriller film directed by Sam Wanamaker and starring Yul Brynner, Charles Gray and Edward Woodward."
14,Iron Eagle,genre,action film,Q39956,Q188473,"Iron Eagle is a 1986 military action film directed by Sidney J. Furie, co-written by Kevin Alyn Elders and starring Jason Gedrick and Louis Gossett Jr."
15,A Fantastic Fear of Everything,genre,comedy film,Q3242,Q157443,"A Fantastic Fear of Everything is a 2012 British horror comedy film starring Simon Pegg, written and directed by Crispian Mills with Chris Hopewell as co-director."
16,Alien Raiders,genre,horror film,Q3208,Q200092,"Alien Raiders is a 2008 American science fiction horror film, starring Carlos Bernard, Rockmond Dunbar and Mathew St. Patrick."
17,Vaa Arugil Vaa,genre,horror film,Q4005,Q200092,"'Come closer, come') is a 1991 Tamil language horror film starring Ramya Krishnan."
18,Invitation to a Gunfighter,genre,Western film,Q25466,Q172980,"Invitation to a Gunfighter is a 1964 DeLuxe Color western directed by Richard Wilson, starring Yul Brynner and George Segal."
19,Escape from Zahrain,genre,action film,Q25471,Q188473,"Escape from Zahrain is a 1962 American action film directed by Ronald Neame and starring Yul Brynner, Sal Mineo, Jack Warden, Madlyn Rhue and Anthony Caruso."
20,Aces: Iron Eagle III,genre,action film,Q39969,Q188473,"Aces: Iron Eagle III is a 1992 military action film directed by John Glen, produced by Ron Samuels, and written by Kevin Alyn Elders."
21,Matchstick Men,genre,crime film,Q4536,Q959790,"Matchstick Men is a 2003 black comedy crime film directed by Ridley Scott, and based on Eric Garcia's 2002 novel of the same name."
22,Iron Eagle II,genre,action film,Q39960,Q188473,Iron Eagle II (also titled Iron Eagle II: The Battle Beyond the Flag) is a 1988 military action film directed by Sidney J. Furie and written by Furie and Kevin Alyn Elders.
23,Strike Commando 2,genre,action film,Q25947,Q188473,"Strike Commando 2 (also known as Trappola diabolica) is a 1988 Italian English-language action film, starring Brent Huff, Richard Harris and Mary Stavin."
24,Black Box BRD,genre,documentary film,Q25454,Q93204,"Black Box BRD was screened at a number of festivals and won several awards in 2001 and 2002, including the 2002 German Film Award for Best Documentary Film and the 2001 European Film Award."
25,Unakkaga Ellam Unakkaga,genre,romantic comedy,Q25539,Q860626,"is a 1999 Indian Tamil-language romantic comedy film written and directed by Sundar C., starring Karthik and Rambha with Goundamani, Vivek, Vinu Chakravarthy, Anju among others in supporting roles."
