,subject,relation,object,subject_entity,object_entity,sentence
0,The Barefoot Contessa,nominated for,Academy Award for Best Supporting Actor,Q1217922,Q106291,"For The Barefoot Contessa's performance, O'Brien won the Academy Award for Best Supporting Actor and the corresponding Golden Globe."
1,The Color of Money,nominated for,Academy Award for Best Actor,Q470916,Q103916,"Newman won the Academy Award for Best Actor for The Color of Money's performance, his first Oscar win after eight nominations, seven of them for Best Actor."
2,The Story of Louis Pasteur,nominated for,Academy Award for Best Actor,Q1619752,Q103916,"Muni won an Academy Award for Best Actor, while Collings and Gibney won for Best Screenplay and Best Story."
3,The Pirates! In an Adventure with Scientists!,nominated for,Academy Award for Best Animated Feature,Q1137359,Q106800,"The film was nominated for the 2013 Academy Award for Best Animated Feature, but lost to DisneyÂ·Pixar's Brave."
4,Fellini's Casanova,nominated for,Academy Award for Best Costume Design,Q18429,Q277536,"Shot entirely at the CinecittÃ  studios in Rome, the film won an Academy Award for Best Costume Design, with the Oscar going to Danilo Donati."
5,"So Long, My Son",nominated for,Golden Bear,Q60738683,Q154590,"So Long , My Son was selected to compete for the Golden Bear at the 69th Berlin International Film Festival."
6,Kagemusha,nominated for,Palme d'Or,Q854990,Q179808,The film won the Palme d'Or at the 1980 Cannes Film Festival.
7,Dead Poets Society,nominated for,BAFTA Award for Best Film,Q106316,Q139184,"The film won the BAFTA Award for Best Film, the CÃ©sar Award for Best Foreign Film and the David di Donatello Award for Best Foreign Film."
8,Dragonheart,nominated for,Academy Award for Best Visual Effects,Q330612,Q393686,Dragonheart was nominated for the Academy Award for Best Visual Effects and various other awards in 1996 and 1997.
9,The Nightmare Before Christmas,nominated for,Academy Award for Best Visual Effects,Q322328,Q393686,"The Nightmare Before Christmas was nominated for the Academy Award for Best Visual Effects, a first for an animated film."
10,The Abyss,nominated for,Academy Award for Best Visual Effects,Q336517,Q393686,The Abyss won the Academy Award for Best Visual Effects and was nominated for three more Academy awards.
11,Attenberg,nominated for,Golden Lion,Q127267,Q209459,The film was nominated for the Golden Lion at the 67th Venice International Film Festival and Ariane Labed won the Coppa Volpi for the Best Actress.
12,Hollow Man,nominated for,Academy Award for Best Visual Effects,Q1098140,Q393686,"The film was nominated for an Academy Award for Best Visual Effects in 2001, losing to Gladiator."
13,Never Look Away,nominated for,Golden Lion,Q28796230,Q209459,Never Look Away was nominated for a Golden Lion at the 75th Venice International Film Festival and for a Golden Globe by the Hollywood Foreign Press Association.
14,Run Lola Run,nominated for,Golden Lion,Q468697,Q209459,"Run Lola Run screened at the Venice Film Festival, where it competed for the Golden Lion."
15,Happy as Lazzaro,nominated for,Palme d'Or,Q52988787,Q179808,Happy as Lazzaro was selected to compete for the Palme d'Or at the 2018 Cannes Film Festival.
16,Sorry Angel,nominated for,Palme d'Or,Q51822263,Q179808,Sorry Angel was selected to compete for the Palme d'Or at the 2018 Cannes Film Festival.
17,Seven Days to Noon,nominated for,Academy Award for Best Story,Q1389525,Q504298,"Based on the book, Un Nazi en Manhattan, written by Fernando Josseau, Paul Dehn and James Bernard won the Academy Award for Best Story for this film."
18,"So Long, My Son",nominated for,Silver Bear,Q60738683,Q708135,"At the festival, the film won the two main acting awards, with Wang Jingchun and Yong Mei winning the Silver Bear for Best Actor and Actress, respectively."
19,Mohabbatein,nominated for,Filmfare Award for Best Supporting Actor,Q1135349,Q966068,"The film changed Amitabh Bachchan's career prospects and earned him critical acclaim as well as several awards, including the Filmfare Award for Best Supporting Actor for Mohabbatein's performance."
20,Mohabbatein,nominated for,Filmfare Award for Best Supporting Actress,Q1135349,Q388433,"Aishwarya Rai was also noted for Mohabbatein's work, earning her a nomination for the Filmfare Award for Best Supporting Actress."
21,Galaxy Quest,nominated for,Nebula Award for Best Script,Q502067,Q644077,The film was a modest box office success and positively received by critics: Galaxy Quest won the Hugo Award for Best Dramatic Presentation (an award won by the original Star Trek series in the 1960s) and the Nebula Award for Best Script.
22,Gone Nutty,nominated for,Academy Award for Best Animated Short Film,Q1011848,Q917808,The film was nominated for the 2003 Academy Award for Best Animated Short Film.
23,Naked Amazon,nominated for,1954 Cannes Film Festival,Q6960430,Q664211,Naked Amazon was entered into the 1954 Cannes Film Festival.
24,Mohabbatein,nominated for,Filmfare Award for Best Director,Q1135349,Q1113428,Aditya Chopra was nominated for the Filmfare Award for Best Director and the film was also nominated for the Filmfare Award for Best Film.
25,The Heart of Jenin,nominated for,German Film Award for Best Documentary Film,Q1168958,Q1204830,"In April 2010, The Heart of Jenin won the German Film Award for Best Documentary Film."
26,The Legend of Jimmy Blue Eyes,nominated for,Academy Award for Best Live Action Short Film,Q19880766,Q1324407,"The film was nominated for the Academy Award for Best Live Action Short Film at the 37th Academy Awards, but lost to Casals Conducts: 1964."
27,Fortress of Peace,nominated for,Academy Award for Best Live Action Short Film,Q18170903,Q1324407,Fortress of Peace was nominated for the 1965 Academy Award for Best Live Action Short Film.
