,subject,relation,object,subject_entity,object_entity,sentence
0,Gone with the Wind,cast member,Rand Brooks,Q2875,Q1397384,sentence from index
1,Gone with the Wind,cast member,Olin Howland,Q2875,Q1968576,sentence from index
2,Gone with the Wind,cast member,Marjorie Reynolds,Q2875,Q3293960,sentence from index
3,Gone with the Wind,cast member,E. Alyn Warren,Q2875,Q5321717,sentence from index
4,Gone with the Wind,cast member,Guy Wilkerson,Q2875,Q20738374,sentence from index
5,Gone with the Wind,cast member,Hans Moebus,Q2875,Q1577419,sentence from index
6,Gone with the Wind,cast member,Yola d'Avril,Q2875,Q8462262,sentence from index
7,Red Sun,cast member,Alain Delon,Q32790,Q106529,sentence from index
8,Red Sun,cast member,Luc Merenda,Q32790,Q1109046,sentence from index
9,Red Sun,cast member,John Hamilton,Q32790,Q3181681,sentence from index
10,Red Sun,cast member,Ursula Andress,Q32790,Q211111,sentence from index
11,Red Sun,cast member,Ricardo Palacios,Q32790,Q1433036,sentence from index
12,Red Sun,cast member,Mónica Randall,Q32790,Q442525,sentence from index
13,Red Sun,cast member,Anthony Dawson,Q32790,Q573128,sentence from index
14,Red Sun,cast member,Capucine,Q32790,Q256466,sentence from index
15,Red Sun,cast member,Guido Lollobrigida,Q32790,Q1553604,sentence from index
16,Red Sun,cast member,José Jaspe,Q32790,Q1709266,sentence from index
17,916,cast member,Mukesh,Q32786,Q277422,sentence from index
18,Gone with the Wind,cast member,Mary Anderson,Q2875,Q287688,sentence from index
19,Gone with the Wind,cast member,George Reeves,Q2875,Q342537,sentence from index
20,Gone with the Wind,cast member,Alicia Rhett,Q2875,Q437443,sentence from index
21,916,cast member,Anoop Menon,Q32786,Q4770059,sentence from index
22,Taxi Driver,cast member,Robert De Niro,Q47221,Q36949,sentence from index
23,Taxi Driver,cast member,Jodie Foster,Q47221,Q41351,sentence from index
24,The Intouchables,cast member,Nicky Marbot,Q595,Q20723802,sentence from index
25,July 14,cast member,Thomy Bourdelle,Q24585,Q3525769,sentence from index
26,July 14,cast member,Georges Tréville,Q24585,Q5546905,sentence from index
27,Citizen Kane,cast member,Georgia Backus,Q24815,Q5547351,sentence from index
28,We Live in Public,cast member,Joshua Harris,Q372,Q6288962,sentence from index
29,Citizen Kane,cast member,Buddy Swan,Q24815,Q4984951,sentence from index
30,Citizen Kane,cast member,Walter Sande,Q24815,Q5421985,sentence from index
31,A Gang Story,cast member,Valeria Cavalli,Q593,Q3553690,sentence from index
32,Citizen Kane,cast member,Orson Welles,Q24815,Q24829,sentence from index
33,Citizen Kane,cast member,Roland Winters,Q24815,Q7360500,sentence from index
34,Scarface,cast member,Al Pacino,Q47075,Q41163,sentence from index
35,Dead like Me: Life After Death,cast member,Jesse Rath,Q33148,Q16237560,sentence from index
36,Dead like Me: Life After Death,cast member,Neil Napier,Q33148,Q17521856,sentence from index
37,A Gang Story,cast member,Christophe Kourotchkine,Q593,Q17521763,sentence from index
38,The Intouchables,cast member,Benjamin Baroche,Q595,Q15146875,sentence from index
39,The Intouchables,cast member,Michel Winogradoff,Q595,Q18326681,sentence from index
40,July 14,cast member,Maximilienne,Q24585,Q13567757,sentence from index
41,The Intouchables,cast member,Marie-Laure Descoureaux,Q595,Q15069878,sentence from index
42,Dead like Me: Life After Death,cast member,Christine Willes,Q33148,Q4981274,sentence from index
43,A Gang Story,cast member,Stéphane Caillard,Q593,Q37798753,sentence from index
44,Taxi Driver,cast member,Peter Savage,Q47221,Q20789791,sentence from index
45,The Broken Coin,cast member,Neil Hardin,Q24732,Q16222603,sentence from index
46,The Intouchables,cast member,Émilie Caen,Q595,Q16685232,sentence from index
