,subject,relation,object,subject_entity,object_entity,sentence
0,The Girl from Nowhere,award received,Golden Leopard,Q38235,Q1700510,The Girl from Nowhere won the Golden Leopard at the 65th Locarno International Film Festival.
1,Taxi Driver,award received,Palme d'Or,Q47221,Q179808,"A critical and commercial success upon release and nominated for four Academy Awards, including for Best Picture, Best Actor (for De Niro) and Best Supporting Actress (for Foster), Taxi Driver won the Palme d'Or at the 1976 Cannes Film Festival."
2,Back to Stay,award received,Golden Leopard,Q38297,Q1700510,The film won the Golden Leopard at the 2011 Locarno International Film Festival and the Golden Astor at the Mar del Plata International Film Festival.
3,Places in the Heart,award received,Academy Award for Best Actress,Q59073,Q103618,Field won Places in the Heart's second Academy Award for Best Actress for her performance.
4,Au revoir les enfants,award received,Golden Lion,Q187276,Q209459,The film won the Golden Lion at the Venice Film Festival.
5,Rain Man,award received,Golden Bear,Q188845,Q154590,The film also won the Golden Bear at the 39th Berlin International Film Festival.
6,Padre Padrone,award received,Palme d'Or,Q527598,Q179808,The drama was originally filmed by the Taviani brothers for Italian television but won the 1977 Palme d'Or prize at the 1977 Cannes Film Festival.
7,The Son's Room,award received,Palme d'Or,Q530812,Q179808,"The Son 's Room won numerous awards, including the Palme d'Or (in jury Mimmo Calopresti) and the David di Donatello for Best Film."
8,Who Saw Him Die?,award received,Golden Bear,Q532112,Q154590,The film won the Golden Bear at the 18th Berlin International Film Festival in 1968.
9,La Dolce Vita,award received,Palme d'Or,Q18407,Q179808,La Dolce Vita won the Palme d'Or (Golden Palm) at the 1960 Cannes Film Festival and the Oscar for Best Costumes.
10,Spider-Man 2,award received,Academy Award for Best Visual Effects,Q190145,Q393686,"Spider-Man 2 won the Academy Award for Best Visual Effects and was also nominated for Best Sound Mixing and Best Sound Editing; it also received five awards at the Saturn Awards, including Best Fantasy Film and Best Director for Raimi."
11,White Shadows in the South Seas,award received,Academy Award for Best Cinematography,Q535195,Q131520,Clyde De Vinna won an Academy Award for Best Cinematography.
12,The Son's Room,award received,David di Donatello for Best Film,Q530812,Q768476,"The Son 's Room won numerous awards, including the Palme d'Or (in jury Mimmo Calopresti) and the David di Donatello for Best Film."
13,Dirty Dancing,award received,Academy Award for Best Original Song,Q253978,Q112243,"Dirty Dancing was the first film to sell more than a million copies for home video, and its soundtrack created by Jimmy Ienner generating two multi-platinum albums and multiple singles, including ""(I've Had) The Time of My Life"", which won both the Golden Globe and Academy Award for Best Original Song and a Grammy Award for best duet."
14,Uncle Boonmee Who Can Recall His Past Lives,award received,Palme d'Or,Q553901,Q179808,"Uncle Boonmee Who Can Recall His Past Lives premiered at the 2010 Cannes Film Festival, where it won the Palme d'Or, becoming the first Thai film to do so."
15,"The Adventures of Priscilla, Queen of the Desert",award received,Academy Award for Best Costume Design,Q255328,Q277536,"The Adventures of Priscilla , Queen of the Desert received predominantly positive reviews and won an Academy Award for Best Costume Design at the 67th Academy Awards."
16,Fellini's Casanova,award received,Academy Award for Best Costume Design,Q18429,Q277536,"Shot entirely at the CinecittÃ  studios in Rome, the film won an Academy Award for Best Costume Design, with the Oscar going to Danilo Donati."
