,subject,relation,object,subject_entity,object_entity,sentence
0,Mayadah Moussa's Masters of the Universe: Primary Tools (Level 1),cost,1111,Q27051879,,sentence from index
1,Wonderful Losers: A Different World,cost,453.353,Q56241217,,sentence from index
2,Le Gouverneur General de l'ile Chakerbakerben,cost,660,Q109849380,,sentence from index
3,Arsenic and Old Lace,cost,1164000,Q59317,,sentence from index
4,Unsolicited Material,cost,47,Q27050520,,sentence from index
5,Who's That Knocking at My Door,cost,75,Q2575227,,sentence from index
6,Deux jours et l'éternité,cost,2126,Q117323615,,sentence from index
7,Deadly Woman,cost,5500,Q26863750,,sentence from index
8,Conquered Teenage Brides,cost,350,Q27056042,,sentence from index
9,Ozone,cost,3500,Q117347918,,sentence from index
10,Dracula's Daughter,cost,278000,Q282276,,sentence from index
11,Jane Eyre,cost,5.2,Q1682593,,sentence from index
12,The Unexpected Refugee,cost,350,Q27044383,,sentence from index
13,Grant Me Safety: Life in the Migrant Camp Outside Calais,cost,2323,Q27043841,,sentence from index
14,Under Heaven,cost,85,Q108802689,,sentence from index
15,The Show Must Go On,cost,2836,Q26828702,,sentence from index
16,Class Enemy,cost,565.024,Q15550189,,sentence from index
17,Head of State,cost,35.2,Q1592282,,sentence from index
18,Salt of the Earth,cost,250000,Q512618,,sentence from index
19,Lady Frankenstein,cost,200000,Q135399,,sentence from index
20,Strangers on a Train,cost,1200000,Q499639,,sentence from index
21,The Man Who Knew Too Much,cost,1200000,Q486826,,sentence from index
22,The Maltese Falcon,cost,300000,Q221462,,sentence from index
23,BJJ NO-MAD: Live by the Gi. Die by the Gi.,cost,5000,Q26831238,,sentence from index
24,A Bond for Life: How James Bond Changed My Life,cost,5000,Q26864007,,sentence from index
25,Our Queen at Ninety,cost,1,Q24659892,,sentence from index
26,The Alien Factor,cost,3500,Q3985628,,sentence from index
27,The Man in the Orange Jacket,cost,40,Q28361600,,sentence from index
28,Remembering Private Quagliano,cost,5000,Q26899291,,sentence from index
29,Extras: The Movie,cost,5000,Q24706096,,sentence from index
30,The Complete Guide to Thai Massage,cost,300,Q26913083,,sentence from index
31,Deranged,cost,200000,Q280094,,sentence from index
32,Dust,cost,3000,Q4385257,,sentence from index
33,Chapter One: The Kiteboard Legacy Begins,cost,1,Q27038100,,sentence from index
34,DarkNet,cost,2000,Q27051591,,sentence from index
35,Human Garbage,cost,500,Q27050772,,sentence from index
36,Inbetween Drinks,cost,2000,Q27051853,,sentence from index
37,Cross Country,cost,5000,Q24705629,,sentence from index
38,The Iron Horse,cost,280000,Q477852,,sentence from index
39,Clownery,cost,2000,Q4224124,,sentence from index
40,Ouija Shark,cost,300,Q111582482,,sentence from index
41,In the Same Boat,cost,250,Q26869491,,sentence from index
42,Behind the Lens: A PC&E Story,cost,1000,Q27038247,,sentence from index
43,Disassembled: The Making of DisPLAY,cost,500,Q27045031,,sentence from index
44,Guam: The Wiggy Movie,cost,500,Q27042596,,sentence from index
45,Miz Markley & Me,cost,5000,Q27056158,,sentence from index
46,Special Olympics Russia 2015,cost,3000,Q27057297,,sentence from index
47,Top 10 Ghost Videos,cost,3,Q27042955,,sentence from index
48,The Red Raider Marching Band,cost,100,Q27050527,,sentence from index
49,The Party at Kitty and Stud's,cost,5000,Q1553593,,sentence from index
50,Brazen Bull,cost,100,Q27050706,,sentence from index
51,The Kingdom of God,cost,5000,Q26908511,,sentence from index
52,"God, Death, and Kids: Cian Westmoreland and Brandon Bryant Drone On",cost,150,Q24705025,,sentence from index
53,Traces of Gore II,cost,3000,Q24705312,,sentence from index
54,#OntheShouldersofGiants,cost,20,Q24639973,,sentence from index
55,Fair Competition in Business,cost,300,Q24708117,,sentence from index
56,30 East Drive,cost,500,Q24759982,,sentence from index
57,Scanning The End,cost,3500,Q24762777,,sentence from index
58,Deathdream,cost,300000,Q33671,,sentence from index
59,Sherlock Holmes and the Secret Weapon,cost,200000,Q255314,,sentence from index
60,Tatsu,cost,200,Q4452888,,sentence from index
61,Dominic the Actor,cost,1000,Q26914811,,sentence from index
62,"I Am Pregnant, in Romania",cost,200,Q26916568,,sentence from index
63,The Last Broadcast,cost,900,Q4373878,,sentence from index
64,The Bigmoon Nights,cost,3000,Q4327733,,sentence from index
65,Child's Play 2,cost,13,Q1089281,,sentence from index
66,Blue Movie,cost,3000,Q885812,,sentence from index
67,Forced Artistry,cost,50,Q27042675,,sentence from index
68,Kiji: Pheasants in New Jersey,cost,500,Q27057454,,sentence from index
69,Chestnuts,cost,100,Q27042295,,sentence from index
70,The Blues Brothers,cost,270000,Q109767,,sentence from index
71,Maestros del Renacer,cost,11,Q100716557,,sentence from index
72,A Year in a Life,cost,2000,Q27056887,,sentence from index
73,"Cursing, Swearing, Bad Words",cost,200,Q27039127,,sentence from index
74,Up Jump Da Boogie or: How I Learned to Stop Worrying and Love the Production of DJ Stan Da Man,cost,1000,Q27051103,,sentence from index
75,Troop Beverly Hills,cost,18,Q1217565,,sentence from index
76,Life... What's the Point?,cost,300,Q26912058,,sentence from index
77,The Cancer Documentary,cost,5000,Q26916861,,sentence from index
78,House on Haunted Hill,cost,200000,Q263583,,sentence from index
79,Porn to Be Free,cost,160,Q24683837,,sentence from index
80,Poland's Gay Shocker,cost,50,Q96973655,,sentence from index
81,The Blackout Experiments,cost,1,Q24514712,,sentence from index
82,A Shark Without Teeth,cost,800,Q27056811,,sentence from index
83,Carlo Burton's Nobel Prize Winner Cary Mullis,cost,2000,Q27056866,,sentence from index
84,Forced Into Silence,cost,1000,Q27050851,,sentence from index
85,"Stories of the Sea Captains' Homes of Wickford, Rhode Island",cost,5000,Q27050440,,sentence from index
86,The Makings of an Addict: Making Deimosimine,cost,3500,Q27042336,,sentence from index
87,What Is ASMR?,cost,200,Q27042049,,sentence from index
88,Three Cameos,cost,3000,Q27056367,,sentence from index
89,Day in a Life 2016 LP Low Res,cost,100,Q27052080,,sentence from index
90,Of Flesh and Love,cost,500,Q27052299,,sentence from index
91,Savage High,cost,2500,Q27042101,,sentence from index
92,Stolen Hearts: The Trailer Park Story,cost,1000,Q27050601,,sentence from index
93,A Fistful of Dollars,cost,200000,Q76479,,sentence from index
94,The Doll Fucking Movie,cost,15,Q55497446,,sentence from index
95,Last Thirteen,cost,60,Q26831261,,sentence from index
96,Chasing Amy,cost,250000,Q40115,,sentence from index
97,"The Good, the Bad and the Ugly",cost,1200000,Q41483,,sentence from index
98,Riphouse 151: Could've Been's & Wanna Be's,cost,1500,Q7335594,,sentence from index
99,From Stage to Screen,cost,2000,Q26869075,,sentence from index
