,subject,relation,object,subject_entity,object_entity,sentence
0,Easy Virtue,production company,Ealing Studios,Q1278386,Q72081,sentence from index
1,Dry Summer,production company,Hittites,Q1542380,Q5406,sentence from index
2,High School Musical: El Desafio (Mexican film),production company,The Walt Disney Company,Q2636649,Q7414,sentence from index
3,Come On George!,production company,Ealing Studios,Q5151218,Q72081,sentence from index
4,Splash,production company,The Walt Disney Company,Q1127184,Q7414,sentence from index
5,Whisky Galore!,production company,Ealing Studios,Q1455926,Q72081,sentence from index
6,Howling: New Moon Rising,production company,New Line Cinema,Q3143402,Q79202,sentence from index
7,Nowhere to Go,production company,Ealing Studios,Q5391720,Q72081,sentence from index
8,West of Memphis,production company,Peter Jackson,Q3567456,Q4465,sentence from index
9,The Lives of Others,production company,ARTE,Q153882,Q8073,sentence from index
10,"Now You See Him, Now You Don't",production company,The Walt Disney Company,Q1366508,Q7414,sentence from index
11,Jaane Bhi Do Yaaro,production company,National Film Development Corporation of India,Q3071387,Q75533,sentence from index
12,Autumn Crocus,production company,Ealing Studios,Q4827139,Q72081,sentence from index
13,Wonder Boys,production company,BBC,Q168862,Q9531,sentence from index
14,One Little Indian,production company,The Walt Disney Company,Q1963035,Q7414,sentence from index
15,The Importance of Being Earnest,production company,Ealing Studios,Q1366919,Q72081,sentence from index
16,Sophie Scholl – The Final Days,production company,ARTE,Q311626,Q8073,sentence from index
17,Life in a Day,production company,YouTube,Q2075458,Q866,sentence from index
18,Jack the Giant Slayer,production company,Washington,Q27513,Q1223,sentence from index
19,Fat Girl,production company,ARTE,Q59503,Q8073,sentence from index
20,Cheats,production company,New Line Cinema,Q3283124,Q79202,sentence from index
21,Barnacle Bill,production company,Ealing Studios,Q1417187,Q72081,sentence from index
22,Caligula,production company,Penthouse,Q217685,Q108515,sentence from index
23,Blade,production company,New Line Cinema,Q3429263,Q79202,sentence from index
24,Man's Best Friend,production company,New Line Cinema,Q3301984,Q79202,sentence from index
25,Herbie Rides Again,production company,The Walt Disney Company,Q1609444,Q7414,sentence from index
26,Secondhand Lions,production company,New Line Cinema,Q951703,Q79202,sentence from index
27,Set It Off,production company,New Line Cinema,Q962544,Q79202,sentence from index
28,It Always Rains on Sunday,production company,Ealing Studios,Q3148535,Q72081,sentence from index
29,From Time to Time,production company,Ealing Studios,Q4198249,Q72081,sentence from index
30,The World's Greatest Athlete,production company,The Walt Disney Company,Q303474,Q7414,sentence from index
31,Henry V,production company,BBC,Q114115,Q9531,sentence from index
32,The Football Factory,production company,Rockstar Games,Q937351,Q94912,sentence from index
33,The Blue Lamp,production company,Ealing Studios,Q3838075,Q72081,sentence from index
