,subject,relation,object,subject_entity,object_entity,sentence
0,Rear Window,publication date,01 January 1954,Q34414,,Rear Window was screened at the 1954 Venice Film Festival.
1,A Gang Story,publication date,10 November 2011,Q593,,A Gang Story (French: Les Lyonnais) is a 2011 French drama film directed by Olivier Marchal.
2,We Live in Public,publication date,19 January 2009,Q372,,"WE LIVE IN PUBLIC is a 2009 documentary film by Ondi Timoner, which profiles Internet pioneer Josh Harris."
3,The Broken Coin,publication date,01 January 1915,Q24732,,The Broken Coin is a 1915 American adventure-mystery film serial directed by Francis Ford.
4,Citizen Kane,publication date,01 May 1941,Q24815,,Principal photography took place in 1940 and the film received Citizen Kane's American release in 1941.
5,Jack the Giant Slayer,publication date,01 January 2013,Q27513,,"Jack the Giant Slayer (previously titled Jack the Giant Killer) is a 2013 American fantasy adventure film directed and co-produced by Bryan Singer and written by Darren Lemke, Christopher McQuarrie and Dan Studney, from a story by Lemke and David Dobkin."
6,Jack the Giant Slayer,publication date,14 March 2013,Q27513,,"Jack the Giant Slayer (previously titled Jack the Giant Killer) is a 2013 American fantasy adventure film directed and co-produced by Bryan Singer and written by Darren Lemke, Christopher McQuarrie and Dan Studney, from a story by Lemke and David Dobkin."
7,Red Sun,publication date,01 January 1971,Q32790,,"Red Sun (French: Soleil rouge, Italian: Sole rosso) is a 1971 Spaghetti Western film directed by Terence Young and starring Charles Bronson, ToshirÅ Mifune, Alain Delon, Ursula Andress, and Capucine."
8,The Intouchables,publication date,23 September 2011,Q595,,The film was voted the cultural event of 2011 in France with 52% of votes in a poll by Fnac.
9,Taxi Driver,publication date,07 February 1976,Q47221,,"A critical and commercial success upon release and nominated for four Academy Awards, including for Best Picture, Best Actor (for De Niro) and Best Supporting Actress (for Foster), Taxi Driver won the Palme d'Or at the 1976 Cannes Film Festival."
10,Taxi Driver,publication date,07 October 1976,Q47221,,"A critical and commercial success upon release and nominated for four Academy Awards, including for Best Picture, Best Actor (for De Niro) and Best Supporting Actress (for Foster), Taxi Driver won the Palme d'Or at the 1976 Cannes Film Festival."
11,Monty Python's The Meaning of Life,publication date,01 January 1983,Q24980,,"Monty Python's The Meaning of Life, also known simply as The Meaning of Life, is a 1983 British musical sketch comedy film written and performed by the Monty Python troupe, directed by Terry Jones."
12,Be Like Others,publication date,01 January 2008,Q33109,,Be Like Others (also known as Transsexual in Iran) is a 2008 documentary film written and directed by Tanaz Eshaghian about transsexuals in Iran.
13,Dead like Me: Life After Death,publication date,01 January 2009,Q33148,,"Dead like Me: Life After Death is a 2009 American fantasy comedy-drama film directed by Stephen Herek and written by John Masius and Stephen Godchaux, based on the short-lived 2003 television series Dead Like Me, created by Bryan Fuller."
14,Frida,publication date,29 August 2002,Q35738,,Frida is a 2002 American biographical drama film directed by Julie Taymor which depicts the professional and private life of the surrealist Mexican artist Frida Kahlo.
15,Celluloide,publication date,01 January 1996,Q34643,,Celluloide is a 1996 Italian film directed by Carlo Lizzani.
16,Nothing like the Holidays,publication date,01 January 2008,Q33131,,"Nothing Like the Holidays is a 2008 film about a Puerto Rican family living in the area of Humboldt Park, Chicago facing what may be their last Christmas together."
17,Confession of Murder,publication date,08 November 2012,Q28289,,"""I Am the Murderer"") is a 2012 South Korean action thriller film directed by Jung Byung-gil, starring Jung Jae-young and Park Si-hoo."
18,To Die like a Man,publication date,01 January 2009,Q33139,,"To Die like a Man (Portuguese: Morrer Como Um Homem) is a 2009 Portuguese drama film directed by JoÃ£o Pedro Rodrigues, produced by the production company Rosa Filmes."
19,Family Plot,publication date,01 January 1976,Q47296,,Family Plot is a 1976 American Technicolor comedy thriller that was the final film directed by Alfred Hitchcock.
20,The Death and Life of Bobby Z,publication date,01 January 2007,Q38486,,"The Death and Life of Bobby Z, also known as Bobby Z and Let's Kill Bobby Z, is a 2007 American-German action film, directed by John Herzfeld, and starring Paul Walker, Laurence Fishburne, Olivia Wilde and Joaquim de Almeida."
21,Inception,publication date,08 July 2010,Q25188,,"Considered one of the best films of the 2010s, Inception received critical praise for its screenplay, direction, themes, visual effects, musical score, and ensemble cast."
22,Inception,publication date,22 July 2010,Q25188,,"Considered one of the best films of the 2010s, Inception received critical praise for its screenplay, direction, themes, visual effects, musical score, and ensemble cast."
23,Inception,publication date,29 July 2010,Q25188,,"Considered one of the best films of the 2010s, Inception received critical praise for its screenplay, direction, themes, visual effects, musical score, and ensemble cast."
24,The File of the Golden Goose,publication date,01 January 1969,Q38143,,"The File of the Golden Goose is a 1969 British thriller film directed by Sam Wanamaker and starring Yul Brynner, Charles Gray and Edward Woodward."
25,Love on the Ground,publication date,01 January 1984,Q25508,,Love on the Ground (French: L'Amour par terre) is a 1984 French film directed by Jacques Rivette.
26,Men of Israel,publication date,01 January 2009,Q36190,,Men of Israel is a 2009 gay pornographic film released by Lucas Entertainment studio.
27,Ammavin Kaipesi,publication date,01 January 2012,Q25482,,Ammavin Kaipesi was among 2012 Deepavali releases and was released along with Podaa Podi and Thuppakki receiving mixed to positive reviews.
28,Special Effects: Anything Can Happen,publication date,01 January 1996,Q8547,,Special Effects : Anything Can Happen was released to IMAX theaters in 1996.
29,Percy's Progress,publication date,01 January 1974,Q4815,,Percy's Progress is a 1974 British comedy film directed by Ralph Thomas.
30,Life or Something Like It,publication date,01 January 2002,Q29871,,Life or Something Like It is a 2002 American romantic comedy/drama film directed by Stephen Herek.
31,A Fantastic Fear of Everything,publication date,01 January 2012,Q3242,,"A Fantastic Fear of Everything is a 2012 British horror comedy film starring Simon Pegg, written and directed by Crispian Mills with Chris Hopewell as co-director."
32,Alien Raiders,publication date,01 January 2008,Q3208,,"Alien Raiders is a 2008 American science fiction horror film, starring Carlos Bernard, Rockmond Dunbar and Mathew St. Patrick."
33,Mallrats,publication date,01 January 1995,Q39999,,"Mallrats is a 1995 American buddy comedy film written and directed by Kevin Smith and starring Jason Lee, Jeremy London, Shannen Doherty, Claire Forlani, Ben Affleck, Jason Mewes, Joey Lauren Adams, Michael Rooker, and Smith himself."
34,Bandits in Milan,publication date,01 January 1968,Q25994,,Bandits in Milan (Italian: Banditi a Milano; also known as The Violent Four) is a 1968 Italian crime film directed by Carlo Lizzani.
35,Strike Commando 2,publication date,01 January 1988,Q25947,,"Strike Commando 2 (also known as Trappola diabolica) is a 1988 Italian English-language action film, starring Brent Huff, Richard Harris and Mary Stavin."
36,Reap the Wild Wind,publication date,01 January 1942,Q31971,,"Reap the Wild Wind is an American 1942 adventure film starring Ray Milland, John Wayne, Paulette Goddard, Robert Preston, and Susan Hayward, and directed by Cecil B. DeMille, his second picture to be filmed in color."
37,Flight from Ashiya,publication date,01 January 1964,Q25506,,"Flight from Ashiya (aka Ashiya Kara no hiko) is a 1964 film about the U.S. Air Force's Air Rescue Service, flying from Ashiya Air Base, Japan."
38,Skyfall,publication date,23 October 2012,Q4941,,"Skyfall became the seventh-highest-grossing film of all time, the highest-grossing film in the UK, the highest-grossing film in the series, the highest-grossing film worldwide for both Sony Pictures and MGM, and the second highest-grossing film of 2012."
39,The Hidden Fortress,publication date,25 December 1958,Q39946,,"The Hidden Fortress (, Kakushi toride no san akunin, literally, ""The Three Villains of the Hidden Fortress"") is a 1958 jidaigeki adventure film directed by Akira Kurosawa."
40,200 Cigarettes,publication date,01 January 1999,Q40071,,200 Cigarettes is a 1999 American comedy film directed by Risa Bramon Garcia and written by Shana Larsen.
41,Paris Belongs to Us,publication date,01 January 1961,Q25513,,"Paris Belongs to Us (French: Paris nous appartient, sometimes translated as Paris Is Ours) is a 1961 French mystery film directed by Jacques Rivette."
42,Vaa Arugil Vaa,publication date,01 January 1991,Q4005,,"'Come closer, come') is a 1991 Tamil language horror film starring Ramya Krishnan."
43,Iron Eagle,publication date,01 January 1986,Q39956,,"Iron Eagle is a 1986 military action film directed by Sidney J. Furie, co-written by Kevin Alyn Elders and starring Jason Gedrick and Louis Gossett Jr."
44,¿¡Revolución!?,publication date,01 January 2006,Q8907,,"As part of the Rencontres internationales du documentaire de Montréal film festival, first screenings occurred on November 10 and 14, 2006 at the Cinéma ONF in Montreal."
45,Iron Eagle II,publication date,01 January 1988,Q39960,,Iron Eagle II (also titled Iron Eagle II: The Battle Beyond the Flag) is a 1988 military action film directed by Sidney J. Furie and written by Furie and Kevin Alyn Elders.
46,Adhisaya Manithan,publication date,01 January 1990,Q3998,,"Adhisaya Manithan (English: Mysterious Human) is a 1990 Tamil Slasher film, produced by Thakkali Srinivasan and directed by Velu Prabhakaran."
47,Le Pont du Nord,publication date,01 January 1981,Q25503,,Le Pont du Nord is a 1981 French film directed by Jacques Rivette.
48,My Forbidden Past,publication date,01 January 1951,Q39422,,My Forbidden Past is a 1951 film directed by Robert Stevenson.
49,Pay or Die,publication date,01 January 1960,Q25086,,"Pay or Die is a 1960 American biographical and crime film directed by Richard Wilson and starring Ernest Borgnine, Zohra Lampert, Howard Caine, Alan Austin, and Robert F. Simon."
50,Back to Stay,publication date,08 August 2011,Q38297,,The film won the Golden Leopard at the 2011 Locarno International Film Festival and the Golden Astor at the Mar del Plata International Film Festival.
51,The Girl from Nowhere,publication date,08 August 2012,Q38235,,The Girl from Nowhere (French: La Fille de nulle part) is a 2012 French drama film directed by Jean-Claude Brisseau.
52,Aces: Iron Eagle III,publication date,09 January 1992,Q39969,,"Aces: Iron Eagle III is a 1992 military action film directed by John Glen, produced by Ron Samuels, and written by Kevin Alyn Elders."
53,School Ties,publication date,01 January 1992,Q40074,,"School Ties is a 1992 American sports-drama film directed by Robert Mandel and starring Brendan Fraser, Matt Damon, Ben Affleck, Chris O'Donnell, Cole Hauser, Randall Batinkoff, Andrew Lowery and Anthony Rapp."
54,Pirates II: Stagnetti's Revenge,publication date,27 September 2008,Q7216,,Pirates II: Stagnetti's Revenge is a 2008 American pornographic action-adventure film and sequel to the 2005 film Pirates.
55,"Up, Down, Fragile",publication date,01 January 1995,Q25617,,"Up, Down, Fragile (French: Haut bas fragile) is a 1995 French film directed by Jacques Rivette."
56,More Than a Miracle,publication date,01 January 1967,Q31786,,More Than a Miracle (Italian: C'era una volta) is a 1967 film also titled Cinderella Italian Style and Happily Ever After.
57,Assassination Games,publication date,01 January 2011,Q31540,,Assassination Games is a 2011 American action thriller film directed by Ernie Barbarash and starring Jean-Claude van Damme and Scott Adkins with Ivan Kaye as their main antagonist.
58,Invitation to a Gunfighter,publication date,01 January 1964,Q25466,,"Invitation to a Gunfighter is a 1964 DeLuxe Color western directed by Richard Wilson, starring Yul Brynner and George Segal."
59,Matchstick Men,publication date,01 January 2003,Q4536,,"Matchstick Men is a 2003 black comedy crime film directed by Ridley Scott, and based on Eric Garcia's 2002 novel of the same name."
60,Testament of Orpheus,publication date,01 January 1960,Q25521,,Testament of Orpheus (French: Le testament d'OrphÃ©e) is a 1960 black-and-white film with a few seconds of color film spliced in.
61,Hurlevent,publication date,01 January 1985,Q25524,,Hurlevent (Howling wind) is a 1985 French drama film directed by Jacques Rivette.
62,Unakkaga Ellam Unakkaga,publication date,01 January 1999,Q25539,,"is a 1999 Indian Tamil-language romantic comedy film written and directed by Sundar C., starring Karthik and Rambha with Goundamani, Vivek, Vinu Chakravarthy, Anju among others in supporting roles."
63,The American Soldier,publication date,01 January 1970,Q25600,,The American Soldier (German: Der amerikanische Soldat) is a 1970 West German film written and directed by Rainer Werner Fassbinder.
64,Escape from Zahrain,publication date,01 January 1962,Q25471,,"Escape from Zahrain is a 1962 American action film directed by Ronald Neame and starring Yul Brynner, Sal Mineo, Jack Warden, Madlyn Rhue and Anthony Caruso."
65,Cast a Giant Shadow,publication date,01 January 1966,Q25835,,"Cast a Giant Shadow is a 1966 big-budget action film based on the life of Colonel Mickey Marcus, and stars Kirk Douglas, Senta Berger, Yul Brynner, John Wayne, Frank Sinatra and Angie Dickinson."
66,Matchstick Men,publication date,18 September 2003,Q4536,,"Matchstick Men is a 2003 black comedy crime film directed by Ridley Scott, and based on Eric Garcia's 2002 novel of the same name."
67,Die Another Day,publication date,22 November 2002,Q30931,,Die Another Day is a 2002 spy film and the twentieth film in the James Bond series produced by Eon Productions.
68,Die Another Day,publication date,28 November 2002,Q30931,,Die Another Day is a 2002 spy film and the twentieth film in the James Bond series produced by Eon Productions.
69,The Company Men,publication date,01 January 2010,Q31791,,"The Company Men premiered at the 26th Sundance Film Festival on JanuaryÂ 22, 2010 and had a one-week run in DecemberÂ 10, 2010 to be eligible for the year's Academy Awards."
70,The Company Men,publication date,07 July 2011,Q31791,,"The movie was released commercially in the United States and Canada on JanuaryÂ 21, 2011."
71,Kings of the Sun,publication date,01 January 1963,Q25858,,Kings of the Sun is a 1963 DeLuxe Color film directed by J. Lee Thompson for Mirisch Productions set in Mesoamerica at the time of the conquest of Chichen Itza by Hunac Ceel.
72,Black Box BRD,publication date,24 May 2001,Q25454,,"Black Box BRD was screened at a number of festivals and won several awards in 2001 and 2002, including the 2002 German Film Award for Best Documentary Film and the 2001 European Film Award."
73,The Godfather,publication date,15 March 1972,Q47703,,"The Godfather was the highest-grossing film of 1972, and was for a time the highest-grossing film ever made, earning between $246 and $287 million at the box office."
74,The Godfather,publication date,24 August 1972,Q47703,,"The Godfather was the highest-grossing film of 1972, and was for a time the highest-grossing film ever made, earning between $246 and $287 million at the box office."
75,The Godfather,publication date,27 September 1972,Q47703,,"The Godfather was the highest-grossing film of 1972, and was for a time the highest-grossing film ever made, earning between $246 and $287 million at the box office."
76,The Seventh Victim,publication date,01 January 1943,Q31212,,"The Seventh Victim is a 1943 American horror film noir directed by Mark Robson and starring Tom Conway, Jean Brooks, Isabel Jewell, Kim Hunter, and Hugh Beaumont."
77,Podaa Podi,publication date,01 January 2012,Q26162,,"Go boy, go girl) is a 2012 Indian Tamil-language musical romantic comedy film written and directed by debutant Vignesh Shivan, starring Silambarasan and Varalaxmi Sarathkumar."
78,Soldier Boyz,publication date,01 January 1995,Q32217,,Soldier Boyz is a 1995 action film directed by Louis Mourneau and starring Michael Dudikoff.
79,Incident at Loch Ness,publication date,01 January 2004,Q32241,,"Incident at Loch Ness is a 2004 mockumentary starring, produced by and written by Werner Herzog and Zak Penn."
80,Prabhuvinte Makkal,publication date,01 January 2012,Q26659,,"Prabhuvinte Makkal is a 2012 Indian Malayalam-language drama film written and directed by Sajeevan Anthikkad, and starring Vinay Forrt, Jijoy Rajagopal, Swasika, and Madhu."
81,The Sisterhood of the Traveling Pants 2,publication date,01 January 2008,Q16458,,The Sisterhood of the Traveling Pants 2 is a 2008 American comedy-drama film and a sequel to the 2005 film The Sisterhood of the Traveling Pants.
82,Liar Liar,publication date,01 January 1997,Q48980,,"Liar Liar is a 1997 American fantasy comedy film directed by Tom Shadyac, written by Paul Guay and Stephen Mazur and starring Jim Carrey, who was nominated for a Golden Globe Award for Best Actor in a Comedy."
83,Map of the Human Heart,publication date,01 January 1992,Q32424,,Map of the Human Heart (also called Carte du Tendre and La Carte du Tendre; released in the Philippines as War Dragon) is a 1992 film by New Zealand director Vincent Ward.
84,Saturday Night Fever,publication date,16 December 1977,Q47654,,Saturday Night Fever is a 1977 American dance drama film directed by John Badham.
85,Jour de Fête,publication date,31 December 1949,Q29867,,Jour de fête (The Big Day) is a 1949 French comedy film starring Jacques Tati in his feature film directional debut as an inept and easily distracted mailman in a backward French village.
