,subject,relation,object,subject_entity,object_entity,sentence
0,A Gang Story,director,Olivier Marchal,Q593,Q694259,A Gang Story (French: Les Lyonnais) is a 2011 French drama film directed by Olivier Marchal.
1,The Ninth Gate,director,Roman Polanski,Q19405,Q51552,"The Ninth Gate is a 1999 mystery thriller film directed, produced, and co-written by Roman Polanski."
2,Lonely Are the Brave,director,Kirk Douglas,Q49396,Q104027,"Lonely Are the Brave stars Kirk Douglas as cowboy Jack Burns, Gena Rowlands as his best friend's wife and Walter Matthau as a sheriff who sympathizes with Burns but must do his job and chase him down."
3,Johnny Stecchino,director,Roberto Benigni,Q19322,Q23301,Johnny Stecchino is an Italian comedy film directed by and starring Roberto Benigni in dual roles.
4,Nothing Left to Do But Cry,director,Massimo Troisi,Q19311,Q53035,"Non ci resta che piangere  (in the U.S. is also known as Nothing Left to Do But Cry) is a 1984  Italian comedy film, starring Roberto Benigni and Massimo Troisi, who are also directors and writers of the movie."
5,The Intouchables,director,Olivier Nakache,Q595,Q74428,"The Intouchables (French: Intouchables, [tuabl]), also known as Untouchable (UK)), is a French buddy comedy-drama film  directed by Olivier Nakache & Ãric Toledano."
6,We Live in Public,director,Ondi Timoner,Q372,Q7092172,"WE LIVE IN PUBLIC is a 2009 documentary film by Ondi Timoner, which profiles Internet pioneer Josh Harris."
7,The Black Windmill,director,Don Siegel,Q49398,Q358322,"The Black Windmill is a 1974 British spy thriller film directed by Don Siegel and starring Michael Caine, John Vernon, Janet Suzman and Donald Pleasence."
8,Monty Python's The Meaning of Life,director,Terry Jones,Q24980,Q166159,"Monty Python's The Meaning of Life, also known simply as The Meaning of Life, is a 1983 British musical sketch comedy film written and performed by the Monty Python troupe, directed by Terry Jones."
9,Varudu,director,Gunasekhar,Q59495,Q5618508,Bridegroom) is a 2010 Indian Telugu-language Romantic action film directed by Gunasekhar in Varudu's tenth directorial film.
10,Nothing Left to Do But Cry,director,Roberto Benigni,Q19311,Q23301,"Non ci resta che piangere  (in the U.S. is also known as Nothing Left to Do But Cry) is a 1984  Italian comedy film, starring Roberto Benigni and Massimo Troisi, who are also directors and writers of the movie."
11,Be Like Others,director,Tanaz Eshaghian,Q33109,Q2392136,Be Like Others (also known as Transsexual in Iran) is a 2008 documentary film written and directed by Tanaz Eshaghian about transsexuals in Iran.
12,Whale Rider,director,Niki Caro,Q19393,Q449163,Whale Rider is a 2002 New Zealand-German family drama film written and directed by Niki Caro.
13,The Little Devil,director,Roberto Benigni,Q19320,Q23301,"The Little Devil (original Italian name Il piccolo diavolo) is a 1988 Italian film directed by and starring Roberto Benigni, also starring Walter Matthau, Stefania Sandrelli, Nicoletta Braschi and John Lurie."
14,Nothing like the Holidays,director,Alfredo De Villa,Q33131,Q4723756,"Nothing like the Holidays was directed by Alfredo De Villa, written by Rick Najera, Ted Perkins, and Alison Swan, and features an ensemble cast."
15,Escape from Zahrain,director,Ronald Neame,Q25471,Q460090,"Escape from Zahrain is a 1962 American action film directed by Ronald Neame and starring Yul Brynner, Sal Mineo, Jack Warden, Madlyn Rhue and Anthony Caruso."
16,Live Free or Die Hard,director,Len Wiseman,Q50861,Q336099,The film was directed by Len Wiseman and starred Bruce Willis as John McClane.
17,Deathdream,director,Bob Clark,Q33671,Q526359,"Deathdream (also known as Dead of Night) is a 1974 horror film directed by Bob Clark and written by Alan Ormsby, and starring Richard Backus, John Marley, and Lynn Carlin."
18,A Fantastic Fear of Everything,director,Crispian Mills,Q3242,Q711920,"A Fantastic Fear of Everything is a 2012 British horror comedy film starring Simon Pegg, written and directed by Crispian Mills with Chris Hopewell as co-director."
19,Alien Raiders,director,Ben Rock,Q3208,Q4886378,The film is Ben Rock's first feature film as a director.
20,Black Box BRD,director,Andres Veiel,Q25454,Q53412,Black Box BRD is a 2001 German documentary film written and directed by Andres Veiel.
21,Dead like Me: Life After Death,director,Stephen Herek,Q33148,Q545669,"Dead like Me: Life After Death is a 2009 American fantasy comedy-drama film directed by Stephen Herek and written by John Masius and Stephen Godchaux, based on the short-lived 2003 television series Dead Like Me, created by Bryan Fuller."
22,The Hidden Fortress,director,Akira Kurosawa,Q39946,Q8006,"The Hidden Fortress (, Kakushi toride no san akunin, literally, ""The Three Villains of the Hidden Fortress"") is a 1958 jidaigeki adventure film directed by Akira Kurosawa."
23,Family Plot,director,Alfred Hitchcock,Q47296,Q7374,Family Plot is a 1976 American Technicolor comedy thriller that was the final film directed by Alfred Hitchcock.
24,Love Is Not Blind,director,Teng Huatao,Q51732,Q9048569,: '33 Days of Breakup') is a 2011 Chinese romantic comedy film directed by Teng Huatao.
25,Saturday Night Fever,director,John Badham,Q47654,Q547485,Saturday Night Fever is a 1977 American dance drama film directed by John Badham.
26,Testament of Orpheus,director,Jean Cocteau,Q25521,Q83158,"Directed by and starring Jean Cocteau, who plays himself as an 18th-century poet, the film includes cameo appearances by Pablo Picasso, Jean Marais, Charles Aznavour, Jean-Pierre Leaud, and Yul Brynner."
27,A Fantastic Fear of Everything,director,Chris Hopewell,Q3242,Q5106916,"A Fantastic Fear of Everything is a 2012 British horror comedy film starring Simon Pegg, written and directed by Crispian Mills with Chris Hopewell as co-director."
28,Hurlevent,director,Jacques Rivette,Q25524,Q167475,Hurlevent (Howling wind) is a 1985 French drama film directed by Jacques Rivette.
29,The American Soldier,director,Rainer Werner Fassbinder,Q25600,Q44426,The American Soldier (German: Der amerikanische Soldat) is a 1970 West German film written and directed by Rainer Werner Fassbinder.
