,subject,relation,object,subject_entity,object_entity,sentence
0,La Strada,screenwriter,Federico Fellini,Q18402,Q7371,"'""The Road""') is a 1954 Italian drama film directed by Federico Fellini from La Strada's own screenplay co-written with Tullio Pinelli and Ennio Flaiano."
1,Reservoir Dogs,screenwriter,Quentin Tarantino,Q72962,Q3772,Reservoir Dogs is a 1992 American independent crime film written and directed by Quentin Tarantino in his feature-length debut.
2,The Frighteners,screenwriter,Peter Jackson,Q1332274,Q4465,The Frighteners is a 1996 comedy horror film directed by Peter Jackson and co-written with  Fran Walsh.
3,X-Men: First Class,screenwriter,Matthew Vaughn,Q223596,Q2593,"The fifth installment in the X-Men film series and a prequel to X-Men (2000), X-Men : First Class was directed by Matthew Vaughn and produced by Bryan Singer, and stars James McAvoy, Michael Fassbender, Rose Byrne, January Jones, Oliver Platt, and Kevin Bacon."
4,I Vitelloni,screenwriter,Federico Fellini,Q18399,Q7371,"""The Bullocks/The layabouts"") is a 1953 Italian comedy-drama directed by Federico Fellini from a screenplay by Fellini, Ennio Flaiano and Tullio Pinelli."
5,The Hobbit: The Battle of the Five Armies,screenwriter,Peter Jackson,Q919649,Q4465,"The Hobbit : The Battle of the Five Armies is the final installment in Peter Jackson's three-part film adaptation based on the novel The Hobbit by J. R. R. Tolkien, following An Unexpected Journey (2012) and The Desolation of Smaug (2013), and together, they act as a prequel to Jackson's The Lord of the Rings film trilogy."
6,Braddock: Missing in Action III,screenwriter,Chuck Norris,Q896904,Q2673,"The film stars Chuck Norris, who co-wrote the screenplay with James Bruner."
7,The Hobbit: The Desolation of Smaug,screenwriter,Peter Jackson,Q719915,Q4465,The Hobbit: The Desolation of Smaug is a 2013 epic high-fantasy adventure film directed by Peter Jackson and produced by WingNut Films in collaboration with New Line Cinema and Metro-Goldwyn-Mayer.
8,Hyperland,screenwriter,Douglas Adams,Q12858529,Q42,Hyperland was written by Douglas Adams and produced and directed by Max Whitby for BBC Two in 1990.
9,I Think I Love My Wife,screenwriter,Chris Rock,Q1656254,Q4109,I Think I Love My Wife is a 2007 American romantic comedy film starring Kerry Washington  Chris Rock and Gina Torres Rock co-wrote the film with Louis C.K.
